name of the gene set	normalized ES	P-Value
alkPathway	2.12330226678	1.48945742052e-32
aktPathway	2.0908286287	5.37002556984e-38
41bbPathway	2.05582084892	2.08753872806e-25
alternativePathway	1.90727989492	1.09934522054e-29
akap96Pathway	1.815131179	9.14964789653e-30
atrbrcaPathway	1.77041971617	6.05051198221e-22
actinYPathway	1.70789598693	2.87409979402e-17
atmPathway	1.45552019963	1.49675676135e-13
akapCentrosomePathway	1.41507568268	1.38059515915e-09
agpcrPathway	1.25873538094	2.23978197926e-05
akap13Pathway	1.03392350783	0.52448423485
arapPathway	0.975516413969	0.680632280107
achPathway	0.931308405681	0.158682223351
appPathway	0.913257067826	0.128387400499
argininecPathway	0.901959983479	0.134053918345
amiPathway	0.616941889822	2.86446283322e-07
anthraxPathway	0.613427037304	7.98841331524e-09
arfPathway	0.612458820609	5.08420610644e-10
ace2Pathway	0.502912359724	3.73992615789e-12
at1rPathway	0.435262365861	8.3410523189e-15
ahspPathway	0.435216151288	1.39231346728e-12
acetaminophenPathway	0.405948318821	1.24221573153e-15
asbcellPathway	0.397148895828	6.80390669209e-17
arenrf2Pathway	0.262990191095	4.35041439008e-23
aifPathway	0.180350693622	5.7439164143e-30
