name of the gene set	normalized ES	P-Value
41bbPathway	2.58507589606	1.91875819132e-38
alternativePathway	2.52493726035	1.2248988476e-48
aktPathway	2.39914293757	2.99835198622e-47
alkPathway	2.34909774047	3.33596632818e-39
actinYPathway	2.09373012791	6.30901749486e-29
atmPathway	2.00204906663	2.0205687196e-35
akap96Pathway	1.86171902338	3.68468574935e-31
akapCentrosomePathway	1.59757149422	4.08694980043e-16
agpcrPathway	1.25422512449	3.86876617874e-05
atrbrcaPathway	1.23848996139	0.000123226380011
akap13Pathway	1.19767861685	0.000348168134167
arapPathway	0.995497204073	0.940542366343
appPathway	0.916277326833	0.13393854211
argininecPathway	0.908993292437	0.162530804768
achPathway	0.891643013858	0.028343294772
anthraxPathway	0.696138291414	3.35196246748e-06
amiPathway	0.552321100753	4.65253479621e-09
ace2Pathway	0.50560164996	1.5079097816e-11
ahspPathway	0.434775385998	1.08713283175e-12
acetaminophenPathway	0.402138433097	1.17695597401e-15
asbcellPathway	0.395032869848	5.14901103953e-17
at1rPathway	0.369621232603	7.21670215726e-18
arfPathway	0.344391754551	2.21724252453e-20
arenrf2Pathway	0.191798038618	2.91444548377e-25
aifPathway	0.179238424583	6.49061950635e-30
